,type
1873,article-journal
1874,article-journal
1875,article-journal
1876,article-journal
1877,article-journal
1878,article-journal
1879,article-journal
1880,article-journal
1881,article-journal
1882,article-journal
1883,article-journal
1884,article-journal
1885,article-journal
1886,article-journal
1887,article-journal
1888,article-journal
1889,article-journal
1890,article-journal
1891,article-journal
1892,article-journal
1893,article-journal
1894,article-journal
1895,article-journal
1896,article-journal
1897,article-journal
1898,article-journal
1899,article-journal
1900,article-journal
1901,article-journal
1902,article-journal
1903,article-journal
1904,article-journal
1905,article-journal
1906,article-journal
1907,article-journal
1908,article-journal
1909,article-journal
1910,article-journal
1911,article-journal
1912,article-journal
1913,article-journal
1914,article-journal
1915,article-journal
1916,article-journal
1917,article-journal
1918,article-journal
1919,article-journal
1920,article-journal
1921,article-journal
1922,article-journal
1923,article-journal
1924,article-journal
1925,article-journal
1926,article-journal
1927,article-journal
1928,article-journal
1929,article-journal
1930,article-journal
1931,article-journal
1932,article-journal
1933,article-journal
1934,article-journal
1935,article-journal
1936,article-journal
1937,article-journal
1938,article-journal
1939,article-journal
1940,article-journal
1941,article-journal
1942,article-journal
1943,article-journal
1944,article-journal
1945,article-journal
1946,article-journal
1947,article-journal
1948,article-journal
1949,article-journal
1950,article-journal
1951,article-journal
1952,article-journal
1953,article-journal
1954,article-journal
1955,article-journal
1956,article-journal
1957,article-journal
1958,article-journal
1959,article-journal
1960,article-journal
1961,article-journal
1962,article-journal
1963,article-journal
1964,article-journal
1965,article-journal
1966,article-journal
1967,article-journal
1968,article-journal
1969,article-journal
1970,article-journal
1971,article-journal
1972,article-journal
1973,article-journal
1974,article-journal
1975,article-journal
1976,article-journal
1977,article-journal
1978,article-journal
1979,article-journal
1980,article-journal
1981,article-journal
1982,article-journal
1983,article-journal
1984,article-journal
1985,article-journal
1986,article-journal
1987,article-journal
1988,article-journal
1989,article-journal
1990,article-journal
1991,article-journal
1992,article-journal
1993,article-journal
1994,article-journal
1995,article-journal
1996,article-journal
1997,article-journal
1998,article-journal
1999,article-journal
2000,article-journal
2001,article-journal
2002,article-journal
2003,article-journal
2004,article-journal
2005,article-journal
2006,article-journal
2007,article-journal
2008,article-journal
2009,article-journal
2010,article-journal
2011,article-journal
2012,article-journal
2013,article-journal
2014,article-journal
2015,article-journal
2016,article-journal
2017,article-journal
2018,article-journal
2019,article-journal
2020,article-journal
2021,article-journal
2022,article-journal
2023,article-journal
2024,article-journal
2025,article-journal
2026,article-journal
2027,article-journal
2028,article-journal
2029,article-journal
2030,article-journal
2031,article-journal
2032,article-journal
2033,article-journal
2034,article-journal
2035,article-journal
2036,article-journal
2037,article-journal
2038,article-journal
2039,article-journal
2040,article-journal
2041,article-journal
2042,article-journal
2043,article-journal
2044,article-journal
2045,article-journal
2046,article-journal
2047,article-journal
2048,article-journal
2049,article-journal
2050,article-journal
2051,article-journal
2052,article-journal
2053,article-journal
2054,article-journal
2055,article-journal
2056,article-journal
2057,article-journal
2058,article-journal
2059,article-journal
2060,article-journal
2061,article-journal
2062,article-journal
2063,article-journal
2064,article-journal
2065,article-journal
2066,article-journal
2067,article-journal
2068,article-journal
2069,article-journal
2070,article-journal
2071,article-journal
2072,article-journal
2073,article-journal
2074,article-journal
2075,article-journal
2076,article-journal
2077,article-journal
2078,article-journal
2079,article-journal
2080,article-journal
2081,article-journal
2082,article-journal
2083,article-journal
2084,article-journal
2085,article-journal
2086,article-journal
2087,article-journal
2088,article-journal
2089,article-journal
2090,article-journal
2091,article-journal
2092,article-journal
2093,article-journal
2094,article-journal
2095,article-journal
2096,article-journal
2097,article-journal
2098,article-journal
2099,article-journal
2100,article-journal
2101,article-journal
2102,article-journal
2103,article-journal
2104,article-journal
2105,article-journal
2106,article-journal
2107,article-journal
2108,article-journal
2109,article-journal
2110,article-journal
2111,article-journal
2112,article-journal
2113,article-journal
2114,article-journal
2115,article-journal
2116,article-journal
2117,article-journal
2118,article-journal
2119,article-journal
2120,article-journal
2121,article-journal
2122,article-journal
2123,article-journal
2124,article-journal
2125,article-journal
2126,article-journal
2127,article-journal
2128,article-journal
2129,article-journal
2130,article-journal
2131,article-journal
2132,article-journal
2133,article-journal
2134,article-journal
2135,article-journal
2136,article-journal
2137,article-journal
2138,article-journal
2139,article-journal
2140,article-journal
2141,article-journal
2142,article-journal
2143,article-journal
2144,article-journal
2145,article-journal
2146,article-journal
2147,article-journal
2148,article-journal
2149,article-journal
2150,article-journal
2151,article-journal
2152,article-journal
2153,article-journal
2154,article-journal
2155,article-journal
2156,article-journal
2157,article-journal
2158,article-journal
2159,article-journal
2160,article-journal
2161,article-journal
2162,article-journal
2163,article-journal
2164,article-journal
2165,article-journal
2166,article-journal
2167,article-journal
2168,article-journal
2169,article-journal
2170,article-journal
2171,article-journal
2172,article-journal
2173,article-journal
2174,article-journal
2175,article-journal
2176,article-journal
2177,article-journal
2178,article-journal
2179,article-journal
2180,article-journal
2181,article-journal
2182,article-journal
2183,article-journal
2184,article-journal
2185,article-journal
2186,article-journal
2187,article-journal
2188,article-journal
2189,article-journal
2190,article-journal
2191,article-journal
2192,article-journal
2193,article-journal
2194,article-journal
2195,article-journal
